Feature_1,Feature_2,Feature_3,True_Label,Predicted_Label
-0.8046246622128043,1.8974437954292929,-0.5181048881192213,Severe,Severe
0.3488704610772,1.744913170285067,-2.086104417581648,Severe,Moderate
-1.0762010684206826,-0.996263374055626,-0.3531407629035595,Moderate,Normal
0.8194469369107087,-1.0193373627307862,-1.5872141560889468,Moderate,Normal
-0.4104710038537651,-0.996263374055626,-1.420314228502179,Normal,Moderate
1.4660600489411961,1.8974437954292929,-0.23952943929154752,Normal,Moderate
-0.01594682821748197,-0.5139788458081403,-1.304480460961176,Normal,Moderate
-1.8017791759800001,-0.3415933764223249,0.37793620973873027,Severe,Normal
-0.5120809596122919,0.6917324748105775,-0.43856879447664143,Moderate,Severe
2.4805418896485785,-0.5139788458081403,-0.5321775148350065,Severe,Normal
-0.5092849354836797,0.9328747389343204,-0.7102324006699007,Moderate,Severe
-0.0513608622857593,2.138586059553037,-0.4150692222215006,Severe,Severe
-0.8807723664791973,-0.5139788458081403,-0.6592126276943937,Severe,Moderate
-1.8239152212003593,-0.2728365816843963,1.9200835484367729,Severe,Normal
-0.49798412534552916,1.350282764351794,-0.5057677217003962,Severe,Severe
1.1163164904945817,-0.2728365816843963,-1.6506244576564408,Moderate,Moderate
-1.1584861501581925,-0.4426642252074842,0.45586892950452623,Severe,Normal
-0.45816744489847405,0.45059021068683347,0.24117855586689213,Moderate,Normal
-0.39457568199479587,1.1740170030580632,-0.7585426558483604,Moderate,Severe
-0.31348259929056355,-0.996263374055626,-0.05958131866532801,Normal,Normal
0.47190709934097486,0.6917324748105775,-0.9026983147919783,Normal,Moderate
3.1493429702232496,-1.0517187475124186,0.3447246531711102,Moderate,Normal
-1.0897582627840676,-1.23740563817937,1.9388363390418735,Normal,Normal
-0.34233344311862285,1.6563015313055514,-0.6767500544093004,Severe,Severe
1.4956904087167289,2.6116434852430457,-1.3428841810409293,Severe,Moderate
-1.0905976613782145,-0.5139788458081403,0.5229119788445981,Severe,Normal
-0.7626135188832335,-0.2728365816843963,0.04338613064348576,Normal,Normal
-0.29634427969399035,1.8286078744476477,-1.584237413997119,Severe,Severe
0.9812224121246433,-0.5139788458081403,-0.8561937790161975,Normal,Normal
