Fold,CNN_Accuracy,Hybrid_CNN_Accuracy
1,0.8951711058616638,0.9004219174385071
2,0.9038912057876587,0.8883262872695923
3,0.8947023153305054,0.8942334651947021
4,0.9071729779243469,0.9003281593322754
5,0.8899202942848206,0.8957337141036987
